case,k,c,mean,lower,upper,rel_interval,threshold,c_div_k
alpha_i = c / k + 1,2,168,0.5,0.42515287797605156,0.5748471220239484,0.29938848809579366,0.3,84.0
alpha_i = c / k + 1,2,1534,0.5,0.4750068158098184,0.5249931841901816,0.09997273676072638,0.1,767.0
alpha_i = c / k + 1,2,6144,0.5,0.48750110504758415,0.5124988949524159,0.049995579809663404,0.05,3072.0
alpha_i = c / k + 1,3,337,0.3333333333333333,0.2842656170252357,0.38425832093933043,0.2999781117422843,0.3,112.33333333333333
alpha_i = c / k + 1,3,3069,0.3333333333333333,0.31677036710619844,0.3501018464057962,0.09999443789879336,0.1,1023.0
alpha_i = c / k + 1,3,12293,0.33333333333333337,0.3250273166812039,0.34169070298308934,0.04999015890565638,0.05,4097.666666666667
alpha_i = c / k + 1,5,677,0.2,0.17085270551228982,0.23081358192937573,0.2998043820854296,0.3,135.4
alpha_i = c / k + 1,5,6140,0.2,0.19009287059468438,0.2100920870003682,0.09999608202841903,0.1,1228.0
alpha_i = c / k + 1,5,24586,0.19999999999999998,0.19502387000508437,0.20502234929313035,0.04999239644022991,0.05,4917.2
alpha_i = c / k + 1,10,1524,0.1,0.08549422205701256,0.11549338882681004,0.2999916676979748,0.3,152.4
alpha_i = c / k + 1,10,13819,0.1,0.09505522732801365,0.1050543536308125,0.09999126302798853,0.1,1381.9
alpha_i = c / k + 1,10,55322,0.09999999999999999,0.09751409299818845,0.10251329499262296,0.04999201994434516,0.05,5532.2
alpha_i = c / k + 1,100,16786,0.01,0.008555036154936005,0.011554857109443262,0.2999820954507256,0.3,167.86
alpha_i = c / k + 1,100,152038,0.01,0.009506157800696323,0.010506043854039193,0.09998860533428702,0.1,1520.38
alpha_i = c / k + 1,100,608426,0.01,0.009751537107782116,0.010251513540279422,0.049997643249730626,0.05,6084.26
alpha_i = c / k + 1,1000,169396,0.001,0.0008555501539343033,0.001155540017886314,0.2999898639520107,0.3,169.396
alpha_i = c / k + 1,1000,1534306,0.001,0.0009506227419532721,0.0010506085624588657,0.09998582050559361,0.1,1534.306
